Name,Country/See,Role_Office,Date_of_Birth,Age,Background
Robert Sarah,Guinea,Prefect emeritus of the Congregation for Divine Worship and the Discipline of the Sacraments,15 June 1945,79,"Cardinal Robert Sarah is a Guinean prelate of the Catholic Church, known for his conservative theological views and his emphasis on traditional Catholic liturgy and moral teachings. Born in 1945 in Guinea, he became the youngest bishop in the world at age 34 and later served as Prefect of the Congregation for Divine Worship and the Discipline of the Sacraments from 2014 to 2021. Sarah is a vocal advocate for reverent, traditional liturgy, including frequent support for the Latin Mass and the ad orientem celebration of the Eucharist. He is also known for his strong opposition to the secularization of society, gender ideology, and liberalizing trends within the Church, advocating instead for a return to spiritual discipline, prayer, and fidelity to Catholic doctrine."
Raymond Leo Burke,United States,Patron emeritus of the Sovereign Military Order of Malta,30 June 1948,76,"Cardinal Raymond Leo Burke is an American prelate of the Roman Catholic Church known for his traditionalist and conservative views. Born in 1948, Burke served as bishop of La Crosse, Wisconsin, archbishop of St. Louis, and Prefect of the Apostolic Signatura, the Church’s highest court. He is noted for his strict adherence to Catholic doctrine on issues such as abortion, marriage, and liturgy, and has been a vocal critic of more progressive movements within the Church, particularly under Pope Francis. Burke opposes Communion for divorced and remarried Catholics and has questioned reforms related to LGBTQ+ issues, positioning himself as a leading figure among conservative Catholics globally."
Kurt Koch,Switzerland,Prefect of the Dicastery for Promoting Christian Unity,15 March 1950,75,"Cardinal Kurt Koch is a Swiss prelate of the Roman Catholic Church, born in 1950, who has served as President of the Pontifical Council for Promoting Christian Unity since 2010. Known for his deep theological expertise, Koch has been a champion of ecumenical dialogue, particularly with Orthodox and Protestant churches, emphasizing the importance of unity among Christians. He is regarded as the Vatican’s leading authority on Jewish-Christian relations, advocating for continued reconciliation and robust interfaith dialogue. Theologically, Koch is considered conservative, upholding traditional Catholic teachings, but he is also seen as open-minded in his commitment to fostering respectful, constructive conversations with other denominations and religions."
Kazimierz Nycz,Poland,Archbishop emeritus of Warsaw,1 February 1950,75,"Cardinal Kazimierz Nycz, born on February 1, 1950, in Stara Wieś, Poland, served as the Archbishop of Warsaw from 2007 until his retirement in November 2024. Ordained a priest in 1973, he earned a doctorate in catechetics and held various educational and pastoral roles before becoming a bishop in 1988. Elevated to cardinal in 2010, Nycz emphasized the universal nature of the Church, cautioning against its instrumentalization for national causes. In October 2024, he expressed openness to legal protections for same-sex civil unions in Poland, provided they are not equated with marriage. Additionally, he highlighted social issues, attributing rising poverty to the reluctance of the wealthy to share their resources. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Kazimierz_Nycz?utm_source=openai), [newwaysministry.org](https://www.newwaysministry.org/2024/12/12/polish-cardinal-now-open-to-legal-protections-for-lgbtq-couples/?utm_source=openai), [pap.pl](https://www.pap.pl/aktualnosci/news%2C1036832%2Ckardynal-kazimierz-nycz-podstawowa-przyczyna-rosnacego-ubostwa-jest?utm_source=openai)) "
Malcolm Ranjith,Sri Lanka,Archbishop of Colombo,15 November 1947,77,"Cardinal Malcolm Ranjith, born in Sri Lanka in 1947, is the Archbishop of Colombo and a prominent leader in the Roman Catholic Church. Known for his traditionalist views, he has been an advocate for liturgical orthodoxy, supporting the Latin Mass and expressing concern over liberalizing trends within the Church. Ranjith has been vocal about political and social issues in Sri Lanka, particularly on human rights, justice, and reconciliation following the country's civil conflict. He is recognized for his critical stance on government corruption and for championing the needs and rights of the country's Catholic minority."
Reinhard Marx,Germany,Archbishop of Munich and Freising and Coordinator of the Council for the Economy,21 September 1953,71,"Cardinal Reinhard Marx is a prominent German Catholic prelate, serving as the Archbishop of Munich and Freising since 2007 and a member of Pope Francis’ Council of Cardinals. Known for his progressive stance within the Church, Marx advocates for greater inclusion, increased dialogue on social justice, and reform in areas such as clerical celibacy, the role of women, and the Church’s approach to LGBTQ+ individuals. He has called for institutional transparency and accountability, particularly in addressing the clerical sexual abuse crisis, and supports modernizing the Church to better engage with contemporary society while upholding core Christian values."
João Braz de Aviz,Brazil,Prefect emeritus of the Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life,24 April 1947,77,"Cardinal João Braz de Aviz is a Brazilian prelate of the Catholic Church, born in 1947, who currently serves as the Prefect of the Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life, a position he has held since 2011. Known for his pastoral sensitivity and openness, Braz de Aviz is recognized for promoting dialogue and reconciliation within religious communities, advocating for a return to the “spirit” of Vatican II with an emphasis on mercy, simplicity, and service. He has been praised for encouraging greater collaboration among different branches of religious life and for his efforts to heal divisions, especially those that arose between traditionalist groups and the Vatican. The cardinal is also seen as supportive of Pope Francis’ vision for a more inclusive and compassionate Church."
Thomas Collins,Canada,Archbishop emeritus of Toronto,16 January 1947,78,"Cardinal Thomas Collins is a Canadian prelate of the Roman Catholic Church who served as the Archbishop of Toronto from 2007 to 2023. Born in 1947 in Guelph, Ontario, he has a background in theology and scripture, earning a Doctorate in Sacred Theology from the Pontifical Gregorian University. Known for his orthodox and traditional Catholic views, Collins has been outspoken on issues such as the sanctity of life, religious freedom, and the defense of traditional marriage. He often emphasizes the importance of scripture, charity, and fidelity to the teachings of the Church in contemporary society. Elevated to the College of Cardinals in 2012 by Pope Benedict XVI, Collins remains an influential voice in Canadian and global Catholicism."
Wim Eijk,Netherlands,Archbishop of Utrecht,22 June 1953,71,"Cardinal Wim Eijk is a Dutch prelate and the Archbishop of Utrecht since 2007. Originally trained as a medical doctor, Eijk later studied philosophy and theology, earning doctorates in both medical ethics and philosophy. Known for his conservative views within the Catholic Church, he staunchly upholds traditional doctrine on issues such as euthanasia, same-sex marriage, and communion for divorced and remarried Catholics. Eijk is recognized for his outspoken defense of Church teachings, advocating for clarity and orthodoxy in faith and morals, and has sometimes publicly disagreed with more liberal trends within the Church."
Giuseppe Betori,Italy,Archbishop emeritus of Florence,25 February 1947,78,"Cardinal Giuseppe Betori, born on February 25, 1947, in Foligno, Italy, is an Italian prelate who served as Archbishop of Florence from 2008 until his resignation in April 2024. Ordained a priest in 1970, he holds advanced degrees in theology and sacred scripture. Throughout his career, Betori has emphasized the importance of integrating faith and reason, advocating for dialogue between the Church and scientific communities. He has also expressed concern over declining priestly vocations, attributing this trend to broader societal shifts affecting personal commitments. Additionally, Betori has supported interfaith initiatives, including facilitating the sale of Church property for the construction of a mosque, underscoring his commitment to religious liberty and multicultural dialogue. ([press.vatican.va](https://press.vatican.va/content/salastampa/en/documentation/cardinali_biografie/cardinali_bio_betori_g.html?utm_source=openai), [catholicnewsagency.com](https://www.catholicnewsagency.com/news/16122/dialogue-between-faith-and-reason-fundamental-says-archbishop-about-galileo-case?utm_source=openai), [catholicnewsagency.com](https://www.catholicnewsagency.com/news/246008/cardinal-laments-lack-of-priestly-vocations-in-florentine-archdiocese?utm_source=openai), [onepeterfive.com](https://onepeterfive.com/florence-sell-mosque/?utm_source=openai)) "
Timothy M. Dolan,United States,Archbishop of New York,6 February 1950,75,"Cardinal Timothy M. Dolan is the Archbishop of New York and a leading figure in the American Catholic Church, known for his charismatic personality and conservative yet pastoral approach to Catholic doctrine. Born in 1950 in St. Louis, Missouri, Dolan is recognized for his staunch defense of traditional church teachings on issues such as marriage, abortion, and religious liberty, often engaging in public debates on these topics. He is appreciated for his approachable style and advocacy for immigrant rights, religious freedom, and the sanctity of life, balancing a firm adherence to Catholic orthodoxy with a warm, engaging demeanor. As a past president of the U.S. Conference of Catholic Bishops, Dolan has played a significant role in shaping Catholic discourse in the United States."
Rainer Woelki,Germany,Archbishop of Cologne,18 August 1956,68,"Cardinal Rainer Maria Woelki is a German Roman Catholic prelate who has served as the Archbishop of Cologne since 2014. Known for his conservative theological and ecclesiastical stance, Woelki has maintained traditional Catholic teachings on issues such as sexuality, priestly celibacy, and church authority, often clashing with more progressive voices in the German church, especially during the ongoing Synodal Path discussions. He has also faced significant criticism and controversy over his handling of clergy sexual abuse cases, leading to public protests and even calls for his resignation, although he retains the support of some in the Vatican. Woelki is considered an influential, yet polarizing, figure within both the German church and broader Catholic hierarchy."
James Michael Harvey,United States,Archpriest of the Papal Basilica of Saint Paul Outside the Walls,20 October 1949,75,"Cardinal James Michael Harvey is an American prelate of the Catholic Church, born in 1949 in Milwaukee, Wisconsin. Ordained a priest in 1975, he entered the Vatican’s diplomatic service, notably serving as Prefect of the Papal Household from 1998 to 2012. Created a cardinal by Pope Benedict XVI in 2012, Harvey is known for his administrative expertise and commitment to the Church’s service, but he has largely avoided public involvement in controversial doctrinal debates, maintaining a low profile among cardinals and emphasizing loyalty, discretion, and service to the papacy and the Vatican’s internal affairs."
Baselios Cleemis,India,Major Archbishop of Trivandrum ( Syro-Malankara Church ),15 June 1959,65,"Cardinal Baselios Cleemis is the Major Archbishop-Catholicos of the Syro-Malankara Catholic Church, based in Kerala, India, and was elevated to cardinal by Pope Benedict XVI in 2012, making him one of the youngest cardinals at the time. Known for his emphasis on dialogue, unity, and social harmony, Cardinal Cleemis advocates for interreligious understanding and the protection of minority rights, especially Christians in India. He is recognized for his commitment to social justice, peaceful coexistence, and fostering ecumenical relations among Christian denominations. His leadership is marked by a pastoral approach focused on compassion, inclusivity, and responding to contemporary socio-political challenges facing the church and wider society."
Gerhard Ludwig Müller,Germany,Prefect emeritus of the Congregation for the Doctrine of the Faith,31 December 1947,77,"Cardinal Gerhard Ludwig Müller is a German theologian and former Prefect of the Congregation for the Doctrine of the Faith (2012–2017), appointed by Pope Benedict XVI. Known for his conservative theological views, Müller is a staunch defender of traditional Catholic doctrine on issues such as the indissolubility of marriage, Eucharistic discipline, and opposition to same-sex unions. He has often expressed concern about theological ambiguity and what he sees as the risk of relativism within the Church, and has occasionally voiced criticism of some aspects of Pope Francis's pastoral approach, particularly in matters of doctrine and moral teaching."
Vincent Nichols,United Kingdom,Archbishop of Westminster,8 November 1945,79,"Cardinal Vincent Nichols, born in 1945 in Liverpool, is the Archbishop of Westminster and the leading Catholic prelate in England and Wales. Known for his pragmatic and diplomatic approach, Nichols has spoken out on social issues including poverty, migration, and religious freedom, advocating Catholic teachings while engaging constructively with secular society. He supports traditional Catholic doctrine, but is recognized for fostering dialogue both within the Church and with other faith communities. Ordained in 1969, Nichols has served in various educational and pastoral roles, and was made a cardinal by Pope Francis in 2014."
Leopoldo Brenes,Nicaragua,Archbishop of Managua,7 March 1949,76,"Cardinal Leopoldo Brenes, born in 1949 in Nicaragua, has been a prominent figure in the Catholic Church, serving as Archbishop of Managua since 2005 and being elevated to cardinal in 2014. Throughout his tenure, he has consistently advocated for dialogue and reconciliation amid Nicaragua's sociopolitical crises, emphasizing respect for differences and the pursuit of peace through understanding. Despite facing criticism and persecution from the government, Brenes remains committed to fostering communication, urging for the release of political prisoners, and calling for a ""change of direction"" in the nation's political landscape. He underscores the importance of trust in divine guidance over human strategies, promoting hope and resilience among the faithful. ([catholicnewsagency.com](https://www.catholicnewsagency.com/news/43198/nicaraguan-cardinal-peace-comes-from-dialogue-accepting-differences?utm_source=openai), [confidencial.digital](https://confidencial.digital/nacion/cardenal-leopoldo-brenes-aboga-por-la-libertad-de-los-presos-politicos/?utm_source=openai), [confidencial.digital](https://confidencial.digital/nacion/cardenal-leopoldo-brenes-llama-a-un-cambio-de-direccion-en-nicaragua/?utm_source=openai), [cruxnow.com](https://cruxnow.com/church-in-the-americas/2022/08/nicaraguan-cardinal-urges-trust-in-the-lord-as-crisis-continues?utm_source=openai)) "
Gérald Lacroix ISPX,Canada,Archbishop of Quebec,27 July 1957,67,"Cardinal Gérald Cyprien Lacroix, ISPX, is a Canadian prelate of the Roman Catholic Church and a member of the Pius X Secular Institute. Born in 1957 in Saint-Hilaire-de-Dorset, Quebec, he became Archbishop of Quebec in 2011 and was elevated to cardinal by Pope Francis in 2014. Known for his pastoral and approachable style, Lacroix emphasizes the need for the Church to engage with contemporary society, focusing on social justice, outreach to the marginalized, and the importance of renewed evangelization. He aligns with Pope Francis’s priorities, supporting compassion, openness, and adaptation to modern realities while upholding Catholic doctrine."
Jean-Pierre Kutwa,Ivory Coast,Archbishop emeritus of Abidjan,22 December 1945,79,"Cardinal Jean-Pierre Kutwa, born on December 22, 1945, in Blockhauss, Ivory Coast, was ordained a priest in 1971 and later served as Archbishop of Gagnoa from 2001 to 2006, and then as Archbishop of Abidjan until his retirement in 2024. Elevated to cardinal by Pope Francis in 2014, he has been a steadfast advocate for peace and reconciliation, especially during Ivory Coast's civil conflicts, urging dialogue, forgiveness, and unity among diverse communities. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Jean-Pierre_Kutwa?utm_source=openai), [catholicnewsagency.com](https://www.catholicnewsagency.com/news/29101/ivory-coasts-new-cardinal-intends-to-advance-peace-in-his-country?utm_source=openai)) "
Orani João Tempesta OCist,Brazil,Archbishop of São Sebastião do Rio de Janeiro,23 June 1950,74,"Cardinal Orani João Tempesta, OCist, is a Brazilian Roman Catholic prelate and member of the Cistercian order, born on June 23, 1950, in São José do Rio Pardo, Brazil. He was ordained a priest in 1974 and later served as abbot before becoming bishop and archbishop in several Brazilian dioceses, including the Archdiocese of Rio de Janeiro, to which he was appointed in 2009. Created cardinal by Pope Francis in 2014, Cardinal Tempesta is known for his pastoral and inclusive approach, social engagement, and strong commitment to the needs of the poor and marginalized. He advocates for dialogue, unity, and human dignity, emphasizing the Church’s role in promoting peace and social justice, especially within the urban realities of Brazil."
Mario Aurelio Poli,Argentina,Archbishop emeritus of Buenos Aires,29 November 1947,77,"Cardinal Mario Aurelio Poli is an Argentine prelate of the Roman Catholic Church, born in Buenos Aires in 1947. He was ordained a priest in 1978 and has held several academic and pastoral roles, becoming Archbishop of Buenos Aires in 2013, succeeding Jorge Mario Bergoglio (now Pope Francis). Created cardinal by Pope Francis the same year, Poli is known for his theological orthodoxy and pastoral sensitivity, often emphasizing social justice and dialogue. While generally aligned with Pope Francis’ focus on the marginalized, he is regarded as more conservative on doctrinal issues, supporting traditional Church teachings on matters such as marriage and abortion."
Philippe Ouédraogo,Burkina Faso,Archbishop emeritus of Ouagadougou,31 December 1945,79,"Cardinal Philippe Ouédraogo, born in 1945 in Burkina Faso, is a prominent Roman Catholic prelate known for his advocacy of peace, interreligious dialogue, and social justice. Appointed Archbishop of Ouagadougou in 2009 and made a cardinal by Pope Francis in 2014, he has frequently spoken out on issues affecting Africa, including poverty, terrorism, and political instability. Cardinal Ouédraogo emphasizes the importance of education, reconciliation, and solidarity, and he encourages dialogue between Christians and Muslims in the region. He is recognized for his pastoral care, humility, and commitment to fostering harmony in a challenging socio-political context."
Chibly Langlois,Haiti,Bishop of Les Cayes,29 November 1958,66,"Cardinal Chibly Langlois, born on November 29, 1958, in La Vallée, Haiti, is the first Haitian cardinal in history. Ordained a priest in 1991, he pursued advanced studies in pastoral theology at the Pontifical Lateran University in Rome. Appointed Bishop of Fort-Liberté in 2004 and later of Les Cayes in 2011, he became a cardinal in 2014 under Pope Francis. Langlois has been a vocal advocate for Haiti's economic development, emphasizing the need for self-sufficiency and the utilization of renewable energy sources. He has also expressed concerns about the influence of voodoo in Haitian society, viewing it as a significant social issue that offers ""magic"" but no real solutions to the country's challenges. ([ncronline.org](https://www.ncronline.org/haitis-first-cardinal-great-strides-have-been-made-country?utm_source=openai), [haitilibre.com](https://www.haitilibre.com/en/news-11594-haiti-religion-you-can-t-be-voodooist-and-catholic-dixit-mgr-langlois.html?utm_source=openai)) "
Manuel Clemente,Portugal,Patriarch emeritus of Lisbon,16 July 1948,76,"Cardinal Manuel Clemente is a prominent Portuguese Roman Catholic prelate, born in 1948 in Torres Vedras, Portugal. He has a reputation as an intellectual and historian, holding advanced degrees in theology and church history. Known for his moderate and pastoral approach, Clemente is seen as promoting dialogue within the Church and between the Church and broader society. As the Patriarch of Lisbon since 2013 and elevated to cardinal by Pope Francis in 2015, he has supported social justice and the church’s engagement with contemporary issues, often stressing the importance of charity, inclusion, and a compassionate response to modern challenges facing both the Church and society."
Berhaneyesus Demerew Souraphiel CM,Ethiopia,Archbishop of Addis Abeba ( Ethiopian Church ),14 July 1948,76,"Cardinal Berhaneyesus Demerew Souraphiel, CM, is an Ethiopian prelate of the Catholic Church and a member of the Congregation of the Mission (Vincentians). Born in 1948 in Cheleleqa, Ethiopia, he became Archbishop of Addis Ababa in 1999 and was elevated to cardinal by Pope Francis in 2015. Cardinal Souraphiel is recognized for his commitment to social justice, interreligious dialogue, and peacebuilding, often advocating for the rights of migrants and refugees in Africa. He is a prominent voice for the Catholic Church in Ethiopia, emphasizing reconciliation, humanitarian aid, and the protection of religious freedom."
John Dew,New Zealand,Archbishop emeritus of Wellington,5 May 1948,76,"Cardinal John Dew is a New Zealand Roman Catholic prelate who served as the Archbishop of Wellington from 2005 to 2023 and was made a cardinal by Pope Francis in 2015. Known for his pastoral approach, Dew has been a strong advocate for a more inclusive and compassionate Church, emphasizing the need for mercy, openness, and dialogue, particularly regarding divorced and remarried Catholics and those marginalized by Church teachings. He has supported Pope Francis’s vision of a synodal and reform-oriented Church, calling for greater lay involvement and understanding of contemporary issues facing Catholics today."
Charles Maung Bo SDB,Myanmar,Archbishop of Yangon,29 October 1948,76,"Cardinal Charles Maung Bo SDB is a Burmese Roman Catholic prelate and member of the Salesians of Don Bosco, known for his advocacy of peace, justice, and interfaith dialogue in Myanmar. Born in 1948, he became the first cardinal from Myanmar in 2015. Cardinal Bo has been a prominent voice for human rights, especially amid the country’s political turmoil, speaking out against violence, religious persecution, and ethnic conflicts—including the plight of the Rohingya. He emphasizes reconciliation, dialogue, and compassion, urging protection of minority rights and a commitment to democracy and social harmony."
Kriengsak Kovitvanit,Thailand,Archbishop emeritus of Bangkok,27 June 1949,75,"Cardinal Francis Xavier Kriengsak Kovitvanit, born on June 27, 1949, in Bangkok, Thailand, is a prominent Thai Catholic prelate who served as Archbishop of Bangkok from 2009 until his resignation on June 27, 2024. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Kriengsak_Kovitvanit?utm_source=openai)) Ordained a priest in 1976, he has been deeply involved in pastoral care, seminary education, and interreligious dialogue. Cardinal Kovitvanit emphasizes the importance of laypeople's witness in evangelization, asserting that the credibility of the Christian faith depends mainly on their testimony. ([licas.news](https://www.licas.news/2022/10/26/credibility-of-christianity-in-asia-depends-on-lay-witness-says-bangkoks-cardinal-kriengsak/?utm_source=openai)) He also highlights the Golden Rule as a foundation for successful interfaith dialogue, noting its presence across major religious texts. ([rvasia.org](https://www.rvasia.org/church-asia/golden-rule-key-successful-interreligious-dialogue-says-thai-cardinal?utm_source=openai)) Additionally, he views secularism as a significant challenge to the Church, describing it as the modern face of the devil. ([catholicnewsagency.com](https://www.catholicnewsagency.com/news/31566/for-thailands-new-cardinal-secularism-is-the-face-of-the-devil?utm_source=openai)) "
Francesco Montenegro,Italy,Archbishop emeritus of Agrigento,22 May 1946,78,"Cardinal Francesco Montenegro is an Italian prelate born in 1946, known for his extensive pastoral experience and commitment to social justice, particularly regarding migrants and the poor. He served as Archbishop of Agrigento, a region heavily impacted by migration across the Mediterranean, and gained prominence for his compassionate response to refugee crises. Created cardinal by Pope Francis in 2015, Montenegro strongly advocates for welcoming migrants and addressing poverty, aligning closely with Pope Francis's emphasis on mercy and outreach to society's margins. His views consistently emphasize solidarity, inclusion, and the moral responsibility of the Church to defend human dignity."
